Year,City,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Motor Theft,Arson,Total
2019,Lafayette,26872,4,0,1,3,0,358,42,286,30,0,724
2019,Laguna Beach,23020,38,1,17,5,15,326,43,261,22,3,731
2019,Laguna Hills,31123,32,0,3,15,14,405,82,288,35,2,876
2019,Laguna Niguel,66671,43,1,9,12,21,607,105,463,39,2,1302
2019,Laguna Woods,16043,7,0,0,2,5,124,20,96,8,0,262
2019,La Habra,62416,140,0,20,41,79,1122,188,789,145,0,2524
2019,La Habra Heights,5357,4,0,0,1,3,79,29,45,5,1,167
2019,Lake Elsinore,70262,173,3,3,43,124,2005,233,1409,363,4,4360
2019,Lake Forest,86691,66,1,7,14,44,684,108,503,73,2,1502
2019,Lakeport,4959,34,0,3,7,24,160,29,110,21,0,388
2019,Lake Shastina,2566,3,0,0,0,3,10,2,6,2,0,26
2019,Lakewood,80151,222,0,20,104,98,1846,303,1354,189,3,4139
2019,La Mesa,59865,174,1,22,76,75,1000,138,715,147,2,2350
2019,La Mirada,48702,86,0,6,28,52,701,145,463,93,3,1577
2019,Lancaster,159335,1359,7,114,374,864,3346,792,1916,638,49,9459
2019,La Palma,15571,17,0,1,7,9,302,41,242,19,1,639
2019,La Puente,39916,151,3,6,53,89,449,75,248,126,5,1205
2019,La Quinta,42044,68,5,5,17,41,1032,158,809,65,1,2201
2019,La Verne,32344,51,1,6,13,31,627,133,447,47,2,1358
2019,Lawndale,32751,125,1,6,40,78,411,83,228,100,4,1076
2019,Lemon Grove,27175,167,2,4,54,107,552,67,365,120,1,1439
2019,Lemoore,26728,126,1,17,14,94,372,71,264,37,6,1002
2019,Lincoln,48625,32,0,4,4,24,468,78,351,39,2,1002
2019,Lindsay,13708,69,0,5,13,51,250,48,119,83,8,646
2019,Livermore,91418,193,2,30,39,122,1554,139,1279,136,4,3498
2019,Livingston,14607,40,0,1,11,28,315,85,164,66,0,710
2019,Lodi,67612,237,3,16,88,130,1658,358,1016,284,15,3805
2019,Loma Linda,24512,77,0,7,17,53,559,125,336,98,5,1277
2019,Lomita,20553,67,0,4,26,37,254,53,161,40,2,644
2019,Lompoc,42818,291,7,29,32,223,1057,238,583,236,18,2714
2019,Long Beach,467974,2369,34,249,958,1128,11297,2185,6754,2358,153,27485
2019,Los Alamitos,11541,6,0,1,3,2,130,41,73,16,1,273
2019,Los Altos,30716,21,0,3,4,14,310,107,181,22,3,665
2019,Los Altos Hills,8622,3,0,1,0,2,67,29,38,0,0,140
2019,Los Angeles,4015546,29400,258,2274,9652,17216,95704,13809,66253,15642,1672,251880
2019,Los Banos,40607,143,2,12,36,93,886,231,506,149,5,2063
2019,Los Gatos,30793,14,0,2,6,6,419,57,332,30,0,866
2019,Lynwood,70619,454,1,21,218,214,1419,189,723,507,14,3760
2019,Madera,66250,334,2,32,77,223,1301,235,824,242,10,3280
2019,Malibu,12794,44,1,5,16,22,416,86,311,19,3,923
2019,Mammoth Lakes,8114,42,0,15,1,26,131,17,105,9,2,348
2019,Manhattan Beach,35583,55,0,5,33,17,851,160,648,43,1,1813
2019,Manteca,83523,199,3,27,66,103,1848,239,1327,282,18,4112
2019,Marina,22911,43,0,6,10,27,361,67,242,52,1,809
2019,Martinez,38692,83,0,17,26,40,570,99,386,85,11,1317
2019,Marysville,12572,116,2,20,23,71,541,81,324,136,9,1323
2019,Maywood,27286,90,2,7,23,58,296,60,143,93,3,775
2019,McFarland,15529,67,3,14,9,41,163,52,53,58,21,481
2019,Mendota,11433,83,1,4,4,74,155,45,50,60,1,477
2019,Menifee,94595,145,2,4,47,92,1892,269,1273,350,0,4074
2019,Menlo Park,34871,50,0,16,13,21,774,110,633,31,0,1648
2019,Merced,83854,540,5,34,103,398,2342,396,1439,507,70,5834
2019,Mill Valley,14343,20,0,1,9,10,223,36,177,10,1,487
2019,Milpitas,82344,102,2,15,48,37,2193,201,1791,201,2,4592
2019,Mission Viejo,95453,65,1,8,22,34,866,121,689,56,5,1867
2019,Modesto,216542,1758,13,94,399,1252,7183,1149,4849,1185,95,17977
2019,Monrovia,36730,43,1,9,16,17,845,87,686,72,10,1786
2019,Montague,1399,8,0,1,0,7,32,15,13,4,0,80
2019,Montclair,39787,234,2,35,70,127,1469,355,868,246,24,3430
2019,Montebello,62650,178,0,11,90,77,1448,480,580,388,81,3333
2019,Monterey,28337,78,0,11,23,44,975,127,774,74,4,2110
2019,Monterey Park,60424,126,0,7,59,60,1355,267,929,159,0,2962
2019,Monte Sereno,3507,0,0,0,0,0,12,2,9,1,0,24
2019,Moorpark,36826,26,0,7,7,12,228,34,183,11,0,508
2019,Moraga,17908,23,0,1,3,19,124,36,79,9,3,297
2019,Moreno Valley,210979,847,15,19,290,523,5534,966,3489,1079,9,12771
2019,Morgan Hill,46118,52,2,3,14,33,703,102,507,94,0,1510
2019,Morro Bay,10624,21,0,1,3,17,127,15,102,10,0,296
2019,Mountain View,84599,165,0,20,49,96,2463,321,2030,112,6,5262
2019,Mount Shasta,3274,12,1,0,2,9,35,5,24,6,0,94
2019,Murrieta,116413,77,3,19,26,29,1512,206,1080,226,4,3182
2019,Napa,79526,280,1,66,55,158,1232,248,847,137,46,3070
2019,National City,61791,364,0,26,130,208,1123,114,735,274,5,2979
2019,Needles,5001,71,1,4,6,60,174,66,97,11,10,500
2019,Nevada City,3150,15,0,4,1,10,89,26,49,14,1,209
2019,Newark,48945,85,0,13,40,32,1399,187,1090,122,6,2974
2019,Newman,11844,16,0,2,3,11,113,25,68,20,1,259
2019,Newport Beach,85325,135,5,29,32,69,1764,273,1344,147,7,3805
2019,Norco,26557,49,0,3,14,32,669,136,434,99,0,1436
2019,Norwalk,105067,432,5,21,138,268,1571,343,922,306,18,4024
